Date,RegionName,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
2017/1/31,81620,CO,Edwards,Eagle,Avon,7537,3305,0.03378167,0.058277297,0.059294872,5343
2017/1/31,95252,CA,,Calaveras,Valley Springs,7538,1552,0.004530744,0.019041366,0.092957746,4201
2017/1/31,40208,KY,Louisville/Jefferson County,Jefferson,Louisville,7539,844,0.003567182,0.015643803,0.079283887,3829
2017/1/31,35120,AL,Birmingham,Saint Clair,Argo,7540,1235,0.010638298,0.029166667,0.038687973,3571
2017/1/31,37760,TN,Morristown,Jefferson,Jefferson City,7541,998,0.002008032,0.005035247,0.051633298,3898
2017/1/31,83406,ID,Idaho Falls,Bonneville,Ammon,7542,1156,0.005217391,0.026642984,0.038634322,5265
2017/1/31,66214,KS,Kansas City,Johnson,Overland Park,7543,1599,0.003766478,0.009469697,0.025,3233
2017/1/31,46113,IN,Indianapolis,Marion,Indianapolis,7544,1191,0.001682086,0.000840336,-0.001676446,4896
2017/1/31,28021,NC,Charlotte,Gaston,Cherryville,7545,911,0.005518764,0.022446689,0.071764706,4784
2017/1/31,13066,NY,Syracuse,Onondaga,Town of Manlius,7546,1802,-0.01260274,-0.031703385,-0.046056114,4839
2017/1/31,6096,CT,Hartford,Hartford,Windsor Locks,7547,1490,-0.001340483,-0.002677376,0.001344086,4985
2017/1/31,15066,PA,Pittsburgh,Beaver,New Brighton,7548,837,0.017010936,0.028255528,-0.011806375,3920
2017/1/31,46373,IN,Chicago,Lake,Saint John,7549,1842,-0.00861141,-0.00378583,0.067826087,6616
2017/1/31,78255,TX,San Antonio,Bexar,San Antonio,7550,2237,0.001342883,-0.004007124,-0.013233348,5165
2017/1/31,41701,KY,,Perry,Hazard,7551,855,0,0.010638298,0.031363088,783
2017/1/31,2903,RI,Providence,Providence,Providence,7552,1523,0.01330672,0.042436687,0.065034965,3135
2017/1/31,36111,AL,Montgomery,Montgomery,Montgomery,7553,927,0.006514658,0.02092511,-0.005364807,4665
2017/1/31,77868,TX,,Grimes,Navasota,7554,1306,-0.005331302,-0.013595166,-0.010606061,2116
2017/1/31,70422,LA,Hammond,Tangipahoa,Amite,7555,1121,-0.009717314,-0.003555556,-0.031114952,3364
2017/1/31,77336,TX,Houston,Harris,Houston,7556,1503,-0.00331565,-0.008575198,-0.025923526,4130
2017/1/31,12538,NY,New York,Dutchess,Hyde Park,7557,1711,-0.007540603,-0.008690614,0.056825201,4208
2017/1/31,93442,CA,San Luis Obispo,San Luis Obispo,Morro Bay,7558,2406,-0.006606111,-0.002073828,0.0330614,5001
2017/1/31,18964,PA,Philadelphia,Montgomery,Franconia,7559,1731,-0.002880184,-0.011986301,-0.003454231,4316
2017/1/31,14622,NY,Rochester,Monroe,Irondequoit,7560,1297,0.001544402,0.000771605,0.018053375,5041
2017/1/31,70583,LA,Lafayette,Lafayette,Scott,7561,1239,0.007317073,0.033361134,-0.005617978,2775
2017/1/31,8215,NJ,Atlantic City,Atlantic,Galloway,7562,1433,-0.003477051,-0.004169562,-0.07309185,4656
2017/1/31,95203,CA,Stockton,San Joaquin,Stockton,7563,1203,0.01092437,0.040657439,0.11802974,4213
2017/1/31,37218,TN,Nashville,Davidson,Nashville,7564,1369,0.001463058,0.020119225,0.091706539,5146
2017/1/31,84014,UT,Ogden,Davis,Centerville,7565,1542,-0.003232062,-0.012804097,0.054719562,5179
2017/1/31,53532,WI,Madison,Dane,De Forest,7566,1432,0.012729844,0.027997128,0.003503854,4879
2017/1/31,87015,NM,Santa Fe,Santa Fe,Edgewood,7567,1280,-0.00233827,-0.00078064,-0.03030303,4442
2017/1/31,10005,NY,New York,New York,New York,7568,3931,-0.00506201,-0.006319515,0.016813244,4673
2017/1/31,60458,IL,Chicago,Cook,Justice,7569,1563,-0.001915709,-0.005092298,-0.005092298,2856
2017/1/31,28604,NC,Boone,Watauga,Beech Mountain,7570,1234,0.004885993,0.014802632,-0.01042502,6660
2017/1/31,45506,OH,Springfield,Clark,Springfield,7571,599,0,0.005033557,0.047202797,5238
2017/1/31,85128,AZ,Phoenix,Pinal,Coolidge,7572,852,0.001175088,0.005903188,-0.005834306,4023
2017/1/31,14613,NY,Rochester,Monroe,Rochester,7573,911,0.007743363,0.031710079,0.047126437,3745
2017/1/31,98070,WA,Seattle,King,Vashon,7574,2263,-0.011790393,-0.029172029,0.06343985,4939
2017/1/31,2540,MA,Cape Cod,Barnstable,Town of Falmouth,7575,2080,-0.012345679,-0.033007903,-0.016083254,6134
2017/1/31,53818,WI,Platteville,Grant,Platteville,7576,1105,0.004545455,0.020313943,-0.008078995,2927
2017/1/31,27358,NC,,Guilford,Summerfield,7577,1571,-0.004435995,-0.006325111,0.001274697,5719
2017/1/31,64082,MO,Kansas City,Jackson,Lees Summit,7578,1791,0.021094641,0.056014151,0.066071429,5622
2017/1/31,6706,CT,New Haven,New Haven,Waterbury,7579,1237,0.00324412,0.008149959,0.008972268,3641
2017/1/31,95453,CA,Clearlake,Lake,Lakeport,7580,1394,-0.007122507,-0.004285714,0.040298507,3539
2017/1/31,70525,LA,Lafayette,Acadia,Church Point,7581,1130,0.007130125,0.012544803,-0.063794532,2921
2017/1/31,77447,TX,Houston,Harris,Hockley,7582,1495,-0.005322688,-0.01320132,-0.024787997,3908
2017/1/31,18202,PA,Scranton,Luzerne,Hazle Township,7583,958,-0.005192108,-0.011351909,0.052747253,5027
2017/1/31,93301,CA,Bakersfield,Kern,Bakersfield,7584,1083,0.001850139,0.002777778,0.010261194,2893
2017/1/31,15224,PA,Pittsburgh,Allegheny,Pittsburgh,7585,1194,0.000838223,-0.014851485,-0.016474465,3749
2017/1/31,75647,TX,Longview,Gregg,Gladewater,7586,1118,-0.013239188,-0.028670721,-0.032871972,3279
2017/1/31,8070,NJ,Philadelphia,Salem,Pennsville Township,7587,1257,-0.016431925,-0.056306306,-0.009456265,4641
2017/1/31,86327,AZ,Prescott,Yavapai,Dewey-Humboldt,7588,1394,0.001436782,0.015294975,0.034892353,3484
2017/1/31,2420,MA,Boston,Middlesex,Lexington,7589,3259,-0.001837672,0.005553841,0.02807571,5283
2017/1/31,2767,MA,Providence,Bristol,Raynham,7590,1833,-0.008116883,-0.032717678,-0.041819132,4332
2017/1/31,35750,AL,Huntsville,Madison,Hazel Green,7591,941,0.012917115,0.023939064,0.007494647,4486
2017/1/31,33955,FL,Punta Gorda,Charlotte,Punta Gorda,7592,2027,-0.00490918,0.015022534,0.143905192,5479
2017/1/31,93247,CA,Visalia,Tulare,Lindsay,7593,1083,0.004638219,0.018814675,0.010261194,3528
2017/1/31,14608,NY,Rochester,Monroe,Rochester,7594,853,-0.005827506,-0.012731481,-0.006984866,2748
2017/1/31,5468,VT,Burlington,Chittenden,Milton,7595,1651,-0.001813785,-0.045112782,-0.011968881,4883
2017/1/31,60555,IL,Chicago,Du Page,Warrenville,7596,1642,0.003054368,0.008599509,0.012954966,5275
2017/1/31,63051,MO,St. Louis,Jefferson,Byrnes Mill,7597,1040,-0.007633588,-0.023474178,-0.089316988,4868
2017/1/31,2045,MA,Boston,Plymouth,Hull,7598,2205,0.002728513,0.000453721,0.025104603,5031
2017/1/31,97408,OR,Eugene,Lane,Eugene,7599,1587,-0.008744535,-0.026380368,0.063672922,3462
2017/1/31,18509,PA,Scranton,Lackawanna,Scranton,7600,963,-0.022335025,-0.013319672,-0.15452151,3834
2017/1/31,7828,NJ,New York,Morris,Budd Lake,7601,2251,0.01533604,0.046003717,0.068850902,3176
2017/1/31,29626,SC,Greenville,Anderson,Anderson,7602,877,0.003432494,-0.009039548,-0.009039548,5240
2017/1/31,29672,SC,Seneca,Oconee,Seneca,7603,1286,-0.006949807,0.022257552,-0.044576523,5086
2017/1/31,64505,MO,St. Joseph,Buchanan,Saint Joseph,7604,679,0.008915305,0.030349014,-0.144836272,4070
2017/1/31,48118,MI,Ann Arbor,Washtenaw,Chelsea,7605,1678,0.005995204,0.013897281,0.001791045,5382
2017/1/31,4530,ME,Portland,Sagadahoc,Bath,7606,1329,-0.004494382,0.008345979,0.029434547,4088
2017/1/31,72714,AR,Fayetteville,Benton,Bella Vista,7607,1103,-0.008984726,-0.006306306,0.027001862,5943
2017/1/31,77422,TX,Houston,Brazoria,Brazoria,7608,1507,-0.008552632,-0.018241042,0.043628809,4511
2017/1/31,49337,MI,,Newaygo,Newaygo,7609,943,0.004259851,0.015069968,-0.022797927,6987
2017/1/31,87532,NM,Espanola,Rio Arriba,Espanola,7610,1448,-0.017639077,0.010467551,0.01542777,2278
2017/1/31,7762,NJ,New York,Monmouth,Spring Lake Heights,7611,2554,-0.000782473,0.01915403,-0.062752294,4646
2017/1/31,3087,NH,Boston,Rockingham,Windham,7612,2251,0.016711834,0.041647385,0.03304268,6568
2017/1/31,94805,CA,San Francisco,Contra Costa,Richmond,7613,2449,-0.000815993,0.001635992,0.038592027,4595
2017/1/31,6418,CT,New Haven,New Haven,Derby,7614,1417,-0.011165387,-0.03736413,-0.044504383,4249
2017/1/31,89138,NV,Las Vegas,Clark,Las Vegas,7615,1810,0.000552792,0.003882418,-0.003852504,5471
2017/1/31,85266,AZ,Phoenix,Maricopa,Scottsdale,7616,3607,0,0.017489422,0.075753057,6166
